3-doors-down,here-without-you
3-doors-down,kryptonite
4-non-blondes,what-s-up
a-chorus-line,one
a-ha,take-on-me
abba,dancing-queen
abba,mamma-mia
abba,waterloo
abba,i-have-a-dream
abba,thank-you-for-the-music
abba,happy-new-year
ac-dc,you-shook-me-all-night-long
ac-dc,back-in-black
ac-dc,highway-to-hell
ac-dc,t-n-t
ac-dc,thunderstruck
ac-dc,whole-lotta-rosie
ac-dc,jailbreak
adele,rolling-in-the-deep
adele,set-fire-to-the-rain
adele,lovesong
adele,i-found-a-boy
adele,skyfall
adele,hello
adele,love-in-the-dark
aerosmith,i-don-t-want-to-miss-a-thing
aladdin,a-whole-new-world
alan-jackson,remember-when
alan-jackson,chattahoochee
alanis-morissette,ironic
alanis-morissette,you-oughta-know
alannah-myles,black-velvet
alexandra-burke,hallelujah
alicia-keys,if-i-ain-t-got-you
alicia-keys,fallin
alvin-lee,bluest-blues
amel-bent,ma-philosophie
american-authors,best-day-of-my-life
amy-winehouse,you-know-i-m-no-good
amy-winehouse,back-to-black
amy-winehouse,rehab
amy-winehouse,will-you-still-love-me-tomorrow
andre-hazes,waarom
andrea-berg,ich-liebe-das-leben
andrea-berg,du-hast-mich-tausendmal-belogen
andrea-bocelli,vivo-per-lei
andreas-bourani,auf-uns
andreas-bourani,hey
andreas-gabalier,i-sing-a-liad-fur-di
andy-williams,moon-river
anne-murray,could-i-have-this-dance
annie,you-re-never-fully-dressed-without-a-smile
annie-lennox,i-put-a-spell-on-you
antonia-aus-tirol,ein-neue-liebe
aqua,barbie-girl
aretha-franklin,respect
aretha-franklin,baby-i-love-you
arisa,la-notte
aston-merrygold,get-stupid
audioslave,like-a-stone
axel-fischer,amsterdam
b-b-king,let-the-good-times-roll
barbara,gottingen
barbara,vienne
barbra-streisand,memory
barclay-james-harvest,hymn
barry-manilow,mandy
barry-manilow,copacabana
barry-manilow,one-voice
barry-white,you-re-the-first-the-last-my-everything
bell-biv-devoe,poison
ben-e-king,stand-by-me
ben-l-oncle-soul,soulman
bette-midler,the-rose
bette-midler,wind-beneath-my-wings
beyonce,if-i-were-a-boy
bill-withers,ain-t-no-sunshine
billie-holiday,ain-t-nobody-s-business
billie-holiday,i-m-a-fool-to-want-you
billy-idol,rebel-yell
billy-idol,white-wedding
billy-joel,honesty
billy-joel,just-the-way-you-are
billy-joel,piano-man
billy-joel,you-re-my-home
billy-ray-cyrus,achy-breaky-heart
birdy,skinny-love
birdy,people-help-the-people
black-eyed-peas,i-gotta-feeling
black-lace,do-the-conga
black-lace,hokey-cokey
blackberry-smoke,good-one-comin-on
blake-shelton,ol-red
blondie,one-way-or-another
bob-marley,no-woman-no-cry
bob-marley,redemption-song
bob-seger,turn-the-page
bobby-darin,mack-the-knife
bobby-darin,splish-splash
bobby-darin,dream-lover
bobby-helms,jingle-bell-rock
bon-jovi,it-s-my-life
bon-jovi,livin-on-a-prayer
boney-m,daddy-cool
boney-m,rivers-of-babylon
boney-m,brown-girl-in-the-ring
bonnie-raitt,i-can-t-make-you-love-me
bonnie-tyler,total-eclipse-of-the-heart
bourvil,a-joinville-le-pont
boyce-avenue,dynamite
boyce-avenue,what-makes-you-beautiful
boyce-avenue,faithfully
boz-scaggs,lido-shuffle
brad-paisley,whiskey-lullaby
brad-paisley,when-i-get-where-i-m-going
brenda-lee,rockin-around-the-christmas-tree
brian-setzer,americano
brigitte,battez-vous
britney-spears,toxic
britney-spears,baby-one-more-time
bruno-mars,just-the-way-you-are
bruno-mars,count-on-me
bruno-mars,marry-you
bruno-mars,the-lazy-song
bruno-mars,when-i-was-your-man
bruno-mars,treasure
bruno-mars,uptown-funk
bryan-adams,you-belong-to-me
buckshot-lefonque,another-day
buddy-holly,that-ll-be-the-day
bullet-for-my-valentine,tears-don-t-fall
cabaret,maybe-this-time
calogero,si-seulement-je-pouvais-lui-manquer
calvin-harris,feel-so-close
camille,paris
carly-rae-jepsen,call-me-maybe
carole-king,beautiful
carrie-underwood,cowboy-casanova
carrie-underwood,there-s-a-place-for-us
cat-stevens,father-and-son
catherine-lara,la-rockeuse-de-diamants
catherine-zeta-jones,all-that-jazz
cats,memory
cee-lo-green,forget-you
celia-cruz,rie-y-llora
celia-cruz,la-vida-es-un-carnaval
celine-dion,s-il-suffisait-d-aimer
celine-dion,my-heart-will-go-on
celine-dion,all-by-myself
celine-dion,when-i-fall-in-love
celine-dion,the-power-of-love
celtic-woman,you-raise-me-up
chaka-khan,you-got-the-love
chaka-khan,ain-t-nobody
charles-aznavour,je-m-voyais-deja
charles-aznavour,comme-ils-disent
charles-aznavour,la-mamma
charlie-puth,marvin-gaye
cher,if-i-could-turn-back-time
chimene-badi,je-viens-du-sud
chingon,malaguena-salerosa
chris-de-burgh,the-lady-in-red
chris-young,who-i-am-with-you
chris-young,i-m-comin-over
christina-aguilera,something-s-gotta-hold-on-me
christina-aguilera,express
christina-aguilera,contigo-en-la-distancia
christina-aguilera,car-wash
christina-aguilera,i-turn-to-you
christina-perri,jar-of-hearts
christina-perri,a-thousand-years
christmas-carol,we-wish-you-a-merry-christmas
christmas-carol,jingle-bells
christmas-carol,douce-nuit-sainte-nuit
christmas-carol,silent-night
christmas-carol,mon-beau-sapin
christmas-carol,hark-the-herald-angels-sing
christophe,aline
christophe-mae,on-s-attache
christophe-willem,si-mes-larmes-tombent
chubby-checker,let-s-twist-again
chuck-berry,johnny-b-goode
claude-francois,comme-d-habitude
claude-francois,le-lundi-au-soleil
claude-nougaro,armstrong
claudia-de-breij,mag-ik-dan-bij-jou
clay-aiken,mary-did-you-know
clean-bandit,rather-be
cliff-richard,congratulations
coeur-de-pirate,mistral-gagnant
cole-swindell,ain-t-worth-the-whiskey
comptine,une-souris-verte
conway-twitty,it-s-only-make-believe
cookie-dingler,femme-liberee
corinne-bailey-rae,put-your-records-on
creedence-clearwater-revival,proud-mary
creedence-clearwater-revival,bad-moon-rising
creedence-clearwater-revival,have-you-ever-seen-the-rain
creedence-clearwater-revival,cotton-fields
culture-club,karma-chameleon
cyndi-lauper,girls-just-wanna-have-fun
daft-punk,get-lucky
dalida,histoire-d-un-amour
damien-saez,jeune-et-con
daniel-balavoine,le-chanteur
daryl-braithwaite,the-horses
das-dschungelbuch,probier-s-mal-mit-gemutlichkeit
david-bowie,space-oddity
david-bowie,heroes
david-bowie,changes
david-bowie,let-s-dance
david-bowie,starman
david-bowie,ziggy-stardust
david-bowie,china-girl
david-bowie,rebel-rebel
david-guetta,titanium
david-lee-roth,just-a-gigolo-i-ain-t-got-nobody
de-dijk,ik-kan-het-niet-alleen
dean-martin,baby-it-s-cold-outside
dean-martin,that-s-amore
dean-martin,ain-t-that-a-kick-in-the-head
dean-martin,you-belong-to-me
dean-martin,let-it-snow-let-it-snow-let-it-snow
dean-martin,rudolph-the-red-nosed-reindeer
deana-carter,strawberry-wine
debut-de-soiree,nuit-de-folie
deep-purple,smoke-on-the-water
diana-krall,fly-me-to-the-moon
diana-krall,i-can-t-give-you-anything-but-love
diana-ross,endless-love
diane-tell,si-j-etais-un-homme
didier-barbelivien,a-toutes-les-filles
didier-barbelivien,jean-de-france
dion,runaround-sue
dion,the-wanderer
dj-otzi,sweet-caroline
dj-otzi,aber-dich-gibt-s-nur-einmal-fur-mich
dobie-gray,drift-away
dolly-parton,9-to-5
dolly-parton,jolene
don-mclean,american-pie
don-omar,danza-kuduro
donna-hightower,this-world-today-is-a-mess
donna-summer,hot-stuff
donny-hathaway,a-song-for-you
drafi-deutscher,marmor-stein-und-eisen-bricht
drafi-deutscher,shake-hands
dream-theater,the-spirit-carries-on
duffy,mercy
duffy,cry-to-me
duran-duran,ordinary-world
dusty-springfield,son-of-a-preacher-man
dwight-yoakam,fast-as-you
easter-songs,eggbert-the-easter-egg
easter-songs,happy-easter
ed-sheeran,the-a-team
ed-sheeran,i-see-fire
ed-sheeran,photograph
eddie-cochran,summertime-blues
eddy-mitchell,garde-moi-la-derniere-danse
edith-piaf,johnny-tu-n-es-pas-un-ange
edith-piaf,la-vie-en-rose
edith-piaf,non-je-ne-regrette-rien
ella-fitzgerald,summertime
ella-fitzgerald,the-lady-is-a-tramp
ella-fitzgerald,bewitched-bothered-and-bewildered
elton-john,your-song
elton-john,can-you-feel-the-love-tonight
elton-john,tiny-dancer
elton-john,don-t-go-breaking-my-heart
elvis-presley,hey-jude
elvis-presley,oh-happy-day
elvis-presley,suspicious-minds
elvis-presley,return-to-sender
elvis-presley,blue-suede-shoes
elvis-presley,don-t-be-cruel
elvis-presley,treat-me-nice
elvis-presley,always-on-my-mind
elvis-presley,american-trilogy
elvis-presley,good-rockin-tonight
elvis-presley,hound-dog
elvis-presley,the-wonder-of-you
elvis-presley,it-s-now-or-never
elvis-presley,in-the-ghetto
elvis-presley,can-t-help-falling-in-love
elvis-presley,blue-moon-of-kentucky
engelbert-humperdinck,after-the-lovin
engelbert-humperdinck,quando-quando-quando
enya,only-time
enya,anywhere-is
eric-church,like-a-wrecking-ball
eric-clapton,nobody-knows-you-when-you-re-down-and-out
eric-clapton,layla
eric-clapton,tears-in-heaven
eric-clapton,cocaine
eric-clapton,lay-down-sally
eric-clapton,wonderful-tonight
eros-ramazzotti,l-aurora
esther-galil,le-jour-se-leve
etta-james,at-last
etta-james,i-d-rather-go-blind
europe,the-final-countdown
eva-cassidy,over-the-rainbow
eva-cassidy,fields-of-gold
eva-cassidy,yesterday
evanescence,my-immortal
evanescence,bring-me-to-life
everything-but-the-girl,missing
extreme,more-than-words
faith-hill,where-are-you-christmas
faith-no-more,epic
fats-domino,jambalaya
fats-domino,blueberry-hill
fiorella-mannoia,io-che-amo-solo-te
fleetwood-mac,go-your-own-way
florence-coste,la-bicyclette
florent-pagny,nos-vies-paralleles
florent-pagny,bienvenue-chez-moi
florent-pagny,amar-y-amar
fool-s-garden,lemon-tree
foreigner,i-want-to-know-what-love-is
france-gall,les-sucettes
francis-cabrel,l-encre-de-tes-yeux
francis-cabrel,quand-j-aime-une-fois-j-aime-pour-toujours
frank-sinatra,my-way
frank-sinatra,strangers-in-the-night
frank-sinatra,new-york-new-york
frank-sinatra,i-ve-got-you-under-my-skin
frank-sinatra,come-fly-with-me
frank-sinatra,the-girl-from-ipanema
frank-sinatra,that-s-life
frank-sinatra,someone-to-watch-over-me
frankie-valli,can-t-take-my-eyes-off-of-you
free,all-right-now
frero-delavega,le-chant-des-sirenes
frozen,liberee-delivree
frozen,in-summer
gabrielle-aplin,the-power-of-love
garou,sous-le-vent
garrett-hedlund,give-in-to-me
garth-brooks,the-dance
garth-brooks,if-tomorrow-never-comes
garth-brooks,the-thunder-rolls
garth-brooks,friends-in-low-places
gary-barlow,forever-love
gary-moore,still-got-the-blues
gary-moore,walking-by-myself
george-benson,nothing-s-gonna-change-my-love-for-you
george-benson,nature-boy
george-ezra,budapest
george-jones,he-stopped-loving-her-today
george-michael,careless-whisper
george-michael,the-first-time-ever-i-saw-your-face
george-strait,does-fort-worth-ever-cross-your-mind
george-strait,i-cross-my-heart
georges-brassens,les-copains-d-abord
gerard-berliner,louise
gilbert-becaud,nathalie
gilbert-becaud,l-important-c-est-la-rose
gilbert-montagne,on-va-s-aimer
ginette-reno,ma-mere-chantait-toujours
glasperlenspiel,ich-bin-ich
glee,rose-s-turn
glee,defying-gravity
glennis-grace,afscheid
gloria-estefan,oye-mi-canto
gloria-gaynor,i-will-survive
gnarls-barkley,crazy
gold,plus-pres-des-etoiles
goo-goo-dolls,iris
gotye,somebody-that-i-used-to-know
grease,summer-nights
grease,you-re-the-one-that-i-want
grease,hopelessly-devoted-to-you
grease,the-grease-mega-mix
gregoire,toi-moi
gregoire,soleil
gretchen-wilson,redneck-woman
guillaume-grand,toi-et-moi
guns-n-roses,sweet-child-o-mine
guns-n-roses,knockin-on-heaven-s-door
guus-meeuwis,t-dondert-en-het-bliksemt
hairspray,mama-i-m-a-big-girl-now
halestorm,here-s-to-us
hank-williams-sr,your-cheatin-heart
happy-birthday-songs,happy-birthday
heart,alone
helene-fischer,ich-will-immer-wieder-dieses-fieber-spur-n
helene-fischer,von-null-auf-sehnsucht
helene-fischer,phanomen
helene-fischer,ewig-ist-manchmal-zu-lang
henry-valentino-and-uschi,im-wagen-vor-mir
hermes-house-band,country-roads
hermes-house-band,long-train-running
herve-vilard,je-l-aime-tant
high-school-musical-2,work-this-out
hinterm-horizont,hinterm-horizont-geht-s-weiter
hoobastank,the-reason
howie-day,collide
hozier,take-me-to-church
hugues-aufray,santiano
idina-menzel,let-it-go
iggy-azalea,black-widow
il-etait-une-fois,j-ai-encore-reve-d-elle
images,les-demons-de-minuit
imagine-dragons,demons
indochine,l-aventurier
indochine,j-ai-demande-a-la-lune
irene-cara,flashdance-what-a-feeling
isabelle-boulay,et-maintenant
isabelle-boulay,il-suffirait-de-presque-rien
israel-kamakawiwo-ole,over-the-rainbow-what-a-wonderful-world
jace-everett,bad-things
jacques-brel,ne-me-quitte-pas
jacques-brel,amsterdam
jacques-brel,le-plat-pays
james-taylor,fire-and-rain
james-taylor,you-ve-got-a-friend
jamey-johnson,in-color
jan-delay,st-pauli
janis-joplin,piece-of-my-heart
jason-aldean,burnin-it-down
jason-mraz,i-won-t-give-up
jason-mraz,i-m-yours
jay-z,ni-as-in-paris
jazz-standards,up-a-lazy-river
jean-gabin,maintenant-je-sais
jean-jacques-goldman,la-bas
jean-jacques-goldman,envole-moi
jean-jacques-goldman,je-te-donne
jean-jacques-goldman,quand-la-musique-est-bonne
jean-jacques-goldman,ensemble
jean-pierre-ferland,une-chance-qu-on-s-a
jeff-buckley,hallelujah
jennifer-lopez,let-s-get-loud
jeroen-van-der-boom,mag-ik-dan-bij-jou
jerry-lee-lewis,great-balls-of-fire
jess-glynne,hold-my-hand
jessica-rabbit,why-don-t-you-do-right
jessie-j,price-tag
jessie-j,mamma-knows-best
jet,are-you-gonna-be-my-girl
jethro-tull,locomotive-breath
jimi-hendrix,foxy-lady
joan-jett,i-love-rock-n-roll
joan-jett,i-hate-myself-for-loving-you
joe-cocker,with-a-little-help-from-my-friends
joe-cocker,unchain-my-heart
joe-cocker,you-are-so-beautiful
joe-dassin,l-amerique
joe-dassin,et-si-tu-n-existais-pas
joe-dassin,les-champs-elysees
joe-dassin,salut-les-amoureux
john-de-bever,jij-krijgt-die-lach-niet-van-mijn-gezicht
john-denver,annie-s-song
john-denver,take-me-home-country-roads
john-legend,all-of-me
john-mellencamp,hurts-so-good
johnny-cash,folsom-prison-blues
johnny-cash,i-walk-the-line
johnny-cash,jackson
johnny-cash,cocaine-blues
johnny-cash,forty-shades-of-green
johnny-hallyday,de-l-amour
johnny-hallyday,un-dimanche-de-janvier
johnny-hallyday,allumer-le-feu
johnny-hallyday,le-penitencier
johnny-hallyday,vivre-pour-le-meilleur
johnny-hallyday,non-je-ne-regrette-rien
johnny-mathis,chances-are
joris,herz-uber-kopf
jose-feliciano,feliz-navidad
