barbara,vienne
barbra-streisand,memory
barry-manilow,one-voice
barry-manilow,mandy
bill-withers,ain-t-no-sunshine
billie-holiday,i-m-a-fool-to-want-you
billie-holiday,ain-t-nobody-s-business
billy-idol,rebel-yell
billy-joel,you-re-my-home
billy-joel,just-the-way-you-are
billy-joel,piano-man
birdy,skinny-love
bob-marley,redemption-song
bob-seger,turn-the-page
bobby-darin,mack-the-knife
bobby-darin,splish-splash
boyce-avenue,dynamite
boyce-avenue,what-makes-you-beautiful
boyce-avenue,faithfully
buckshot-lefonque,another-day
cabaret,maybe-this-time
calogero,si-seulement-je-pouvais-lui-manquer
camille,paris
carole-king,beautiful
cats,memory
celine-dion,when-i-fall-in-love
celine-dion,all-by-myself
celine-dion,s-il-suffisait-d-aimer
charles-aznavour,la-mamma
charles-aznavour,comme-ils-disent
charles-aznavour,je-m-voyais-deja
chingon,malaguena-salerosa
christina-aguilera,contigo-en-la-distancia
christmas-carol,hark-the-herald-angels-sing
christmas-carol,douce-nuit-sainte-nuit
christmas-carol,silent-night
christmas-carol,mon-beau-sapin
chuck-berry,johnny-b-goode
claude-nougaro,armstrong
claudia-de-breij,mag-ik-dan-bij-jou
cliff-richard,congratulations
coeur-de-pirate,mistral-gagnant
comptine,une-souris-verte
creedence-clearwater-revival,have-you-ever-seen-the-rain
creedence-clearwater-revival,bad-moon-rising
dalida,histoire-d-un-amour
damien-saez,jeune-et-con
daniel-balavoine,le-chanteur
das-dschungelbuch,probier-s-mal-mit-gemutlichkeit
david-bowie,space-oddity
dean-martin,you-belong-to-me
dean-martin,baby-it-s-cold-outside
dean-martin,ain-t-that-a-kick-in-the-head
dean-martin,let-it-snow-let-it-snow-let-it-snow
diana-krall,i-can-t-give-you-anything-but-love
diana-krall,fly-me-to-the-moon
diana-ross,endless-love
diane-tell,si-j-etais-un-homme
donna-hightower,this-world-today-is-a-mess
donny-hathaway,a-song-for-you
easter-songs,eggbert-the-easter-egg
easter-songs,happy-easter
eddy-mitchell,garde-moi-la-derniere-danse
edith-piaf,la-vie-en-rose
edith-piaf,non-je-ne-regrette-rien
ella-fitzgerald,the-lady-is-a-tramp
ella-fitzgerald,summertime
ella-fitzgerald,bewitched-bothered-and-bewildered
elton-john,your-song
elvis-presley,blue-moon-of-kentucky
elvis-presley,blue-suede-shoes
elvis-presley,good-rockin-tonight
eric-church,like-a-wrecking-ball
eric-clapton,cocaine
eric-clapton,tears-in-heaven
etta-james,at-last
eva-cassidy,over-the-rainbow
eva-cassidy,fields-of-gold
eva-cassidy,yesterday
faith-hill,where-are-you-christmas
fats-domino,blueberry-hill
fats-domino,jambalaya
fiorella-mannoia,io-che-amo-solo-te
florence-coste,la-bicyclette
france-gall,les-sucettes
francis-cabrel,l-encre-de-tes-yeux
frank-sinatra,someone-to-watch-over-me
frank-sinatra,come-fly-with-me
frank-sinatra,the-girl-from-ipanema
frank-sinatra,strangers-in-the-night
frank-sinatra,new-york-new-york
frank-sinatra,i-ve-got-you-under-my-skin
frank-sinatra,my-way
frankie-valli,can-t-take-my-eyes-off-of-you
frero-delavega,le-chant-des-sirenes
frozen,liberee-delivree
gabrielle-aplin,the-power-of-love
garrett-hedlund,give-in-to-me
garth-brooks,the-dance
gary-barlow,forever-love
gary-moore,walking-by-myself
gary-moore,still-got-the-blues
george-benson,nature-boy
george-michael,the-first-time-ever-i-saw-your-face
gerard-berliner,louise
glee,rose-s-turn
glee,defying-gravity
glennis-grace,afscheid
gloria-gaynor,i-will-survive
gnarls-barkley,crazy
hank-williams-sr,your-cheatin-heart
happy-birthday-songs,happy-birthday
idina-menzel,let-it-go
indochine,l-aventurier
isabelle-boulay,et-maintenant
isabelle-boulay,il-suffirait-de-presque-rien
israel-kamakawiwo-ole,over-the-rainbow-what-a-wonderful-world
jace-everett,bad-things
jacques-brel,ne-me-quitte-pas
jacques-brel,le-plat-pays
jacques-brel,amsterdam
james-taylor,fire-and-rain
jazz-standards,up-a-lazy-river
jean-jacques-goldman,la-bas
jeff-buckley,hallelujah
jeroen-van-der-boom,mag-ik-dan-bij-jou
jerry-lee-lewis,great-balls-of-fire
jessica-rabbit,why-don-t-you-do-right
jet,are-you-gonna-be-my-girl
jethro-tull,locomotive-breath
joe-cocker,you-are-so-beautiful
johnny-cash,folsom-prison-blues
johnny-cash,cocaine-blues
johnny-cash,jackson
johnny-hallyday,de-l-amour
johnny-hallyday,un-dimanche-de-janvier
johnny-hallyday,le-penitencier
johnny-hallyday,non-je-ne-regrette-rien
josh-groban,gold-can-turn-to-sand
journey,faithfully
journey,open-arms
judy-garland,somewhere-over-the-rainbow
julie-london,cry-me-a-river
katherine-jenkins,in-the-arms-of-an-angel
kem,love-calls
kings-of-leon,sex-on-fire
lara-fabian,tu-es-mon-autre
lara-fabian,releve-toi
leann-rimes,unchained-melody
led-zeppelin,stairway-to-heaven
led-zeppelin,kashmir
les-aristochats,des-gammes-et-des-arpeges
les-enfoires,quand-on-n-a-que-l-amour
les-rita-mitsouko,marcia-baila
lionel-richie,hello
liza-minnelli,theme-from-new-york-new-york
loreen,euphoria
louane,je-vais-t-aimer
louane,je-vole
luis-mariano,quand-on-est-deux-amis
luis-mariano,la-belle-de-cadix
luis-miguel,solamente-una-vez
luther-vandross,if-this-world-were-mine
luz-casal,piensa-en-mi
madeleine-peyroux,j-ai-deux-amours
malika-ayane,come-foglie
mariah-carey,hero
marius-muller-westernhagen,geiler-is-schon
marvin-gaye,ain-t-no-mountain-high-enough
matilda-the-musical,naughty
matt-monro,from-russia-with-love
matt-monro,walk-away
melissa-etheridge,bring-me-some-water
mercedes-sosa,alfonsina-y-el-mar
mexican-traditional,la-bamba
michael-buble,you-ll-never-find-another-love-like-mine
michael-buble,something-stupid
michael-buble,the-christmas-song
michael-buble,you-don-t-know-me
michael-buble,sway
michael-buble,quando-quando-quando
michael-buble,let-it-snow-let-it-snow-let-it-snow
michael-buble,the-way-you-look-tonight
michael-buble,feeling-good
michael-buble,cry-me-a-river
michel-leeb,j-aime-paris-au-mois-de-mai
michel-polnareff,goodbye-marylou
michel-telo,ai-se-eu-te-pego
mina,la-voce-del-silenzio
mylene-farmer,sans-contrefacon
nancy-sinatra,these-boots-are-made-for-walkin
nat-king-cole,autumn-leaves
nat-king-cole,unforgettable
nat-king-cole,l-o-v-e
nat-king-cole,the-christmas-song
nat-king-cole,when-i-fall-in-love
natalie-cole,when-i-fall-in-love
neil-diamond,hello-again
neil-diamond,love-on-the-rocks
neil-young,four-strong-winds
niagara,quand-la-ville-dort
nina-hagen,du-hast-den-farbfilm-vergessen
nina-simone,my-baby-just-cares-for-me
nina-simone,i-love-you-porgy
nirvana,smells-like-teen-spirit
noir-desir,le-vent-nous-portera
notre-dame-de-paris,tu-vas-me-detruire
nursery-rhyme,twinkle-twinkle-little-star
olivia-ruiz,j-envoie-valser
pascal-obispo,l-important-c-est-d-aimer
pat-travers,snortin-whiskey
patrick-bruel,j-te-l-dis-quand-meme
patrick-bruel,mon-amant-de-st-jean
patrick-bruel,casser-la-voix
patrick-fiori,elles
pearl-jam,alive
peggy-lee,fever
pink,just-give-me-a-reason
pistol-annies,hell-on-heels
pur,geweint-vor-gluck
rafael-martos-sanchez,mi-gran-noche
rage-against-the-machine,killing-in-the-name
ralph-mctell,streets-of-london
renaud,mistral-gagnant
ricardo-arjona,fuiste-tu
ricchi-e-poveri,sara-perche-ti-amo
richard-cocciante,le-coup-de-soleil
richard-marx,right-here-waiting
rihanna,stay
rio-reiser,fur-immer-und-dich
robbie-williams,somethin-stupid
roberto-alagna,piensa-en-mi
rod-stewart,as-time-goes-by
rod-stewart,i-m-in-the-mood-for-love
ron-pope,a-drop-in-the-ocean
ronan-keating,we-ve-got-tonight
rufus-wainwright,hallelujah
salvatore-adamo,les-filles-du-bord-de-mer
santana,black-magic-woman
sara-bareilles,gravity
sarah-mclachlan,angel
seether,broken
serge-reggiani,le-barbier-de-belleville
shakin-stevens,marie-marie
steppenwolf,born-to-be-wild
steve-earle,copperhead-road
stevie-ray-vaughan,pride-and-joy
stevie-wonder,isn-t-she-lovely
stone-temple-pilots,plush
sublime,saw-red
sublime,santeria
sugarland,stay
survivor,eye-of-the-tiger
susan-tedeschi,it-hurt-so-bad
telephone,cendrillon
the-andrews-sisters,alexander-s-ragtime-band
the-animals,house-of-the-rising-sun
the-aristocats,everybody-wants-to-be-a-cat
the-beatles,yesterday
the-beatles,a-day-in-the-life
the-beatles,roll-over-beethoven
the-black-crowes,hard-to-handle
the-blues-brothers,sweet-home-chicago
the-four-aces,peg-o-my-heart
the-georgia-satellites,keep-your-hands-to-yourself
the-popettes,lullaby-of-broadway
the-sound-of-music,edelweiss
the-sound-of-music,my-favorite-things
tracy-chapman,fast-car
traditional,danny-boy
